x,y,Prediction,Target,Hits,Hits Labeled
78.65839,-36.643433,2,2,1,Correct Predictions
57.01144,73.041756,3,3,1,Correct Predictions
76.691505,-10.246661,2,2,1,Correct Predictions
-67.73716,-82.82384,4,4,1,Correct Predictions
-18.242105,-57.110855,4,4,1,Correct Predictions
43.975616,65.91969,3,3,1,Correct Predictions
70.99959,4.041533,2,2,1,Correct Predictions
16.195524,-36.76359,2,2,1,Correct Predictions
-28.462322,51.60911,1,1,1,Correct Predictions
-87.27123,10.379166,1,1,1,Correct Predictions
-66.54573,-44.96188,4,4,1,Correct Predictions
10.404432,-68.81469,2,4,0,Incorrect Predictions
18.860962,88.71647,3,3,1,Correct Predictions
-4.4868226,-2.1367598,1,1,1,Correct Predictions
-87.57686,21.047472,1,1,1,Correct Predictions
-40.18759,-92.97873,4,4,1,Correct Predictions
-28.861187,-7.506843,3,3,1,Correct Predictions
5.2477355,29.606215,2,2,1,Correct Predictions
81.814644,3.278467,2,2,1,Correct Predictions
49.59407,-61.818245,2,2,1,Correct Predictions
-61.42838,-10.01821,3,3,1,Correct Predictions
14.895825,-68.17666,2,2,1,Correct Predictions
-32.48047,-86.60085,4,4,1,Correct Predictions
-58.619133,-16.47886,3,3,1,Correct Predictions
1.4037436,-81.95235,4,4,1,Correct Predictions
-65.04712,-20.270649,3,3,1,Correct Predictions
-29.349577,-54.174828,4,4,1,Correct Predictions
-33.6823,21.696728,1,1,1,Correct Predictions
-25.54669,-76.81526,4,4,1,Correct Predictions
-3.213603,-45.705498,3,3,1,Correct Predictions
-20.458906,-19.603523,2,2,1,Correct Predictions
23.236807,-58.19904,2,2,1,Correct Predictions
-39.074173,72.15597,1,1,1,Correct Predictions
-28.811626,-76.16792,4,4,1,Correct Predictions
-56.189224,64.71187,1,1,1,Correct Predictions
-79.09454,36.340317,1,1,1,Correct Predictions
-33.448986,44.0836,1,1,1,Correct Predictions
-52.399803,33.437473,1,1,1,Correct Predictions
-58.386837,-2.0164196,3,3,1,Correct Predictions
-46.211388,-62.07766,4,1,0,Incorrect Predictions
-99.96315,7.137408,1,1,1,Correct Predictions
31.196987,-32.76191,2,2,1,Correct Predictions
63.83593,5.606628,3,3,1,Correct Predictions
6.850647,0.47853503,3,3,1,Correct Predictions
-55.109447,12.315109,1,1,1,Correct Predictions
38.83188,45.621735,3,3,1,Correct Predictions
-44.39441,-47.25085,4,4,1,Correct Predictions
-29.023844,-29.628632,4,4,1,Correct Predictions
-43.797348,-93.74266,4,4,1,Correct Predictions
4.553087,-1.7686051,3,3,1,Correct Predictions
-17.114801,-83.5763,4,4,1,Correct Predictions
27.389294,42.827824,2,2,1,Correct Predictions
56.454666,7.724663,2,2,1,Correct Predictions
-21.16536,87.07267,3,3,1,Correct Predictions
-66.04202,18.489697,1,1,1,Correct Predictions
21.90041,-84.721054,3,3,1,Correct Predictions
-55.54876,65.31188,1,1,1,Correct Predictions
49.286755,17.16396,3,3,1,Correct Predictions
16.013165,13.519007,3,3,1,Correct Predictions
-30.192554,86.45457,3,3,1,Correct Predictions
-90.98899,-7.632098,3,3,1,Correct Predictions
-51.60394,49.889557,1,1,1,Correct Predictions
-63.14236,7.5883393,1,1,1,Correct Predictions
65.26322,-0.65699106,2,2,1,Correct Predictions
14.600115,-68.53562,2,2,1,Correct Predictions
-87.580124,49.73411,1,1,1,Correct Predictions
-58.89676,-3.0827246,3,3,1,Correct Predictions
-3.7298286,93.46016,3,3,1,Correct Predictions
-38.833347,73.540474,1,1,1,Correct Predictions
62.17656,58.086002,3,3,1,Correct Predictions
70.89254,-38.670654,2,2,1,Correct Predictions
64.87572,68.130165,3,3,1,Correct Predictions
75.81582,-38.859325,2,2,1,Correct Predictions
-52.732723,-54.386757,4,4,1,Correct Predictions
23.93953,-90.49366,3,2,0,Incorrect Predictions
83.011894,-11.071951,2,2,1,Correct Predictions
-51.417652,1.974926,1,1,1,Correct Predictions
23.231375,-29.422762,2,2,1,Correct Predictions
-72.34872,-19.782299,3,3,1,Correct Predictions
-73.879295,0.0938012,3,3,1,Correct Predictions
-55.16559,78.41091,1,1,1,Correct Predictions
5.6804123,-0.5117385,3,3,1,Correct Predictions
-73.05846,55.982803,1,1,1,Correct Predictions
50.531986,10.710937,2,4,0,Incorrect Predictions
24.356476,-62.11279,4,4,1,Correct Predictions
32.015396,43.973442,3,3,1,Correct Predictions
-25.882736,-70.95397,2,2,1,Correct Predictions
-34.613182,-17.924845,3,2,0,Incorrect Predictions
29.359333,8.311866,2,2,1,Correct Predictions
-74.91729,42.90791,1,1,1,Correct Predictions
73.03491,60.79246,3,3,1,Correct Predictions
-24.90081,-87.93793,4,4,1,Correct Predictions
-16.873638,36.843147,3,3,1,Correct Predictions
35.305206,-16.038187,2,2,1,Correct Predictions
16.167482,-55.68848,3,3,1,Correct Predictions
-39.933125,-83.028435,4,4,1,Correct Predictions
-71.44402,47.16159,1,1,1,Correct Predictions
42.89226,93.28718,3,3,1,Correct Predictions
-70.596,20.410522,1,1,1,Correct Predictions
36.222763,23.590515,3,3,1,Correct Predictions
50.083107,-37.108917,2,2,1,Correct Predictions
-5.021992,-30.628508,2,2,1,Correct Predictions
94.69636,34.51676,3,3,1,Correct Predictions
25.015547,-17.383345,2,2,1,Correct Predictions
-48.061844,39.351738,1,1,1,Correct Predictions
-26.480038,-100.653725,4,4,1,Correct Predictions
74.91047,-38.44744,2,2,1,Correct Predictions
-77.34243,19.81235,1,1,1,Correct Predictions
17.67547,-47.753002,3,3,1,Correct Predictions
-27.733866,86.94434,3,3,1,Correct Predictions
-75.89538,29.884127,1,1,1,Correct Predictions
89.23066,-28.574257,2,2,1,Correct Predictions
54.715862,14.884666,2,2,1,Correct Predictions
22.079079,-17.79022,2,2,1,Correct Predictions
80.86809,-23.985947,2,2,1,Correct Predictions
-46.596493,49.65401,1,1,1,Correct Predictions
-45.2373,60.73689,1,1,1,Correct Predictions
47.372406,59.673588,3,3,1,Correct Predictions
-56.507507,17.17344,1,1,1,Correct Predictions
18.005861,-5.188056,1,1,1,Correct Predictions
-1.1082691,-14.86755,2,2,1,Correct Predictions
-41.12234,-48.494717,4,4,1,Correct Predictions
0.7245201,-48.5807,3,3,1,Correct Predictions
73.280846,59.331337,3,3,1,Correct Predictions
40.25307,41.561134,3,3,1,Correct Predictions
34.182983,-9.286897,3,3,1,Correct Predictions
-35.141453,19.598398,1,1,1,Correct Predictions
-81.377846,-3.0586622,3,3,1,Correct Predictions
44.481655,37.535957,3,3,1,Correct Predictions
-64.15468,47.538242,1,1,1,Correct Predictions
-25.234955,-35.287304,4,4,1,Correct Predictions
-81.337585,38.157974,1,1,1,Correct Predictions
17.351591,-57.105015,3,3,1,Correct Predictions
-33.199272,-74.887436,4,4,1,Correct Predictions
-12.542486,44.529724,2,2,1,Correct Predictions
-57.052776,69.355156,1,1,1,Correct Predictions
79.80462,8.686142,2,2,1,Correct Predictions
23.12597,-65.81822,4,4,1,Correct Predictions
-41.774815,16.281775,1,1,1,Correct Predictions
-58.76497,19.90657,1,1,1,Correct Predictions
87.77242,-38.768166,2,2,1,Correct Predictions
26.45871,71.29188,1,3,0,Incorrect Predictions
8.862317,56.303852,3,3,1,Correct Predictions
-13.193644,8.409234,2,2,1,Correct Predictions
-54.38046,-74.004395,4,4,1,Correct Predictions
62.210056,-21.884014,2,2,1,Correct Predictions
20.943077,-15.375888,2,2,1,Correct Predictions
89.61857,-42.611214,2,2,1,Correct Predictions
20.82492,68.24221,3,3,1,Correct Predictions
-63.408867,66.8114,1,1,1,Correct Predictions
-19.371075,-20.45227,2,2,1,Correct Predictions
-37.725746,-95.675934,4,4,1,Correct Predictions
-52.858013,6.3202653,1,1,1,Correct Predictions
49.48459,87.08123,3,3,1,Correct Predictions
-76.47027,-61.912964,4,4,1,Correct Predictions
81.8592,-39.75629,2,2,1,Correct Predictions
78.993324,-52.518078,2,2,1,Correct Predictions
21.765705,-0.13865267,2,2,1,Correct Predictions
39.468616,11.559454,2,2,1,Correct Predictions
-41.909645,-48.536133,4,4,1,Correct Predictions
7.5817914,-48.262733,2,2,1,Correct Predictions
-15.624706,-47.895077,4,4,1,Correct Predictions
93.42101,19.339888,3,3,1,Correct Predictions
-50.67175,44.8597,2,1,0,Incorrect Predictions
42.815308,-46.003147,2,2,1,Correct Predictions
5.9509964,53.730553,3,3,1,Correct Predictions
47.728226,-38.245342,2,3,0,Incorrect Predictions
66.474785,-4.9913306,2,2,1,Correct Predictions
59.35889,-5.558435,2,2,1,Correct Predictions
29.97697,84.70605,3,3,1,Correct Predictions
-56.809093,-6.590662,3,3,1,Correct Predictions
63.037613,-9.7641535,2,2,1,Correct Predictions
-37.053234,69.85647,1,1,1,Correct Predictions
-41.257915,-87.536064,4,4,1,Correct Predictions
-9.532736,-47.99827,2,2,1,Correct Predictions
52.95266,-3.410489,2,2,1,Correct Predictions
-55.049118,-61.36331,4,4,1,Correct Predictions
45.274178,28.099901,3,3,1,Correct Predictions
-1.0487429,-15.313498,2,2,1,Correct Predictions
-62.56552,-2.741544,3,3,1,Correct Predictions
13.952735,19.37712,3,3,1,Correct Predictions
19.669907,34.998875,2,2,1,Correct Predictions
47.6959,-32.750954,2,2,1,Correct Predictions
-16.757132,36.78602,3,3,1,Correct Predictions
27.79417,-25.57722,2,2,1,Correct Predictions
49.864845,-12.266539,2,2,1,Correct Predictions
30.238783,83.192215,3,3,1,Correct Predictions
-47.0641,-35.39041,4,4,1,Correct Predictions
44.032497,22.658773,3,3,1,Correct Predictions
63.18123,64.83591,3,3,1,Correct Predictions
-37.506306,-25.009584,4,4,1,Correct Predictions
43.850605,-66.59436,2,2,1,Correct Predictions
36.99273,-91.799164,3,3,1,Correct Predictions
-63.1145,56.962914,1,1,1,Correct Predictions
-86.25776,38.28941,1,1,1,Correct Predictions
-49.743256,-28.723637,4,4,1,Correct Predictions
47.805313,48.499462,3,3,1,Correct Predictions
89.401985,39.415504,3,3,1,Correct Predictions
-78.66233,31.390223,1,3,0,Incorrect Predictions
-18.710016,-51.547558,4,4,1,Correct Predictions
41.603245,7.83888,2,2,1,Correct Predictions
-60.150593,23.354235,1,1,1,Correct Predictions
76.24312,-15.280153,2,2,1,Correct Predictions
-58.31405,-42.58605,4,4,1,Correct Predictions
5.0798073,30.636223,2,2,1,Correct Predictions
-17.603094,-87.54848,4,4,1,Correct Predictions
33.819073,40.369137,2,2,1,Correct Predictions
-76.68753,42.84838,1,1,1,Correct Predictions
-21.391548,86.30965,3,3,1,Correct Predictions
10.693797,-63.776867,3,3,1,Correct Predictions
26.776684,-55.535263,3,2,0,Incorrect Predictions
37.856686,-23.511333,2,2,1,Correct Predictions
30.040325,-76.62951,3,3,1,Correct Predictions
-43.268215,-41.97632,4,4,1,Correct Predictions
43.103336,17.746702,3,3,1,Correct Predictions
34.7535,1.1367328,2,2,1,Correct Predictions
36.308735,-59.354424,4,4,1,Correct Predictions
-40.34484,-25.64695,4,4,1,Correct Predictions
-0.6903358,-63.24713,2,2,1,Correct Predictions
-10.910403,-88.9233,4,4,1,Correct Predictions
-27.176437,6.149253,2,4,0,Incorrect Predictions
38.674862,-64.539986,2,2,1,Correct Predictions
26.737337,53.583733,3,3,1,Correct Predictions
-54.418125,-34.026688,4,4,1,Correct Predictions
6.264208,2.172797,3,3,1,Correct Predictions
62.698322,-48.38832,2,2,1,Correct Predictions
-72.17529,-1.0476682,3,1,0,Incorrect Predictions
-78.44027,8.9832,1,1,1,Correct Predictions
19.98212,-46.92241,3,3,1,Correct Predictions
0.8026946,-45.63409,2,2,1,Correct Predictions
44.045982,42.55557,3,3,1,Correct Predictions
60.70066,49.62794,3,3,1,Correct Predictions
48.485577,29.75516,3,3,1,Correct Predictions
-20.165245,43.80719,1,1,1,Correct Predictions
65.522644,-35.273045,2,2,1,Correct Predictions
61.976475,-48.970406,2,2,1,Correct Predictions
-72.801956,-0.2209145,3,3,1,Correct Predictions
57.092262,38.12647,3,3,1,Correct Predictions
47.92723,-33.31188,2,2,1,Correct Predictions
-4.2759347,2.9197104,3,3,1,Correct Predictions
52.23956,-34.78095,2,2,1,Correct Predictions
-80.80632,19.6348,1,3,0,Incorrect Predictions
50.56799,82.95704,3,3,1,Correct Predictions
-5.378633,58.160007,3,4,0,Incorrect Predictions
30.02067,-93.30689,3,3,1,Correct Predictions
65.538216,-60.1906,2,2,1,Correct Predictions
-56.75316,19.559603,1,1,1,Correct Predictions
-23.348919,26.596455,2,2,1,Correct Predictions
63.14548,-51.6907,2,2,1,Correct Predictions
-12.30857,-39.17501,4,4,1,Correct Predictions
-74.82404,-9.456735,3,3,1,Correct Predictions
-4.9602847,46.90698,3,3,1,Correct Predictions
-19.545237,-76.93245,4,4,1,Correct Predictions
-12.953641,29.89644,1,1,1,Correct Predictions
-74.09462,10.157334,1,1,1,Correct Predictions
36.56321,34.660736,3,3,1,Correct Predictions
61.865696,1.798023,2,2,1,Correct Predictions
-57.24976,-54.205948,4,4,1,Correct Predictions
-61.808258,31.89688,1,1,1,Correct Predictions
15.178513,-7.856976,3,3,1,Correct Predictions
57.918213,-0.062338494,2,2,1,Correct Predictions
-91.33287,-5.3866186,3,3,1,Correct Predictions
-7.378074,7.743313,2,2,1,Correct Predictions
11.071221,46.98483,3,3,1,Correct Predictions
-41.430458,-10.872566,3,3,1,Correct Predictions
-26.12487,-60.382977,4,4,1,Correct Predictions
58.237877,-31.148752,2,2,1,Correct Predictions
34.85993,-25.270641,3,2,0,Incorrect Predictions
-55.626087,-61.88012,4,4,1,Correct Predictions
-68.320496,33.265354,1,1,1,Correct Predictions
31.729465,-8.886333,3,3,1,Correct Predictions
60.10124,40.185844,3,3,1,Correct Predictions
39.797638,-67.54461,2,2,1,Correct Predictions
77.721344,-15.184475,2,2,1,Correct Predictions
-26.766558,36.624428,1,1,1,Correct Predictions
42.842,41.854828,3,3,1,Correct Predictions
-69.73608,-36.972908,3,3,1,Correct Predictions
-32.421963,-57.934746,4,4,1,Correct Predictions
33.156754,11.2214575,2,2,1,Correct Predictions
-36.089348,45.45153,1,1,1,Correct Predictions
47.286858,-57.24816,2,2,1,Correct Predictions
-48.006123,-57.04748,4,4,1,Correct Predictions
69.65948,-34.91866,2,2,1,Correct Predictions
12.525868,-28.94346,4,4,1,Correct Predictions
-7.6979833,-2.550684,3,3,1,Correct Predictions
-86.91118,-11.090123,3,3,1,Correct Predictions
43.634598,18.256836,3,3,1,Correct Predictions
34.02933,58.382774,3,3,1,Correct Predictions
-53.29243,35.365837,1,1,1,Correct Predictions
-4.886326,-5.9131613,1,1,1,Correct Predictions
-87.17678,10.786206,1,1,1,Correct Predictions
65.78659,77.63751,3,3,1,Correct Predictions
30.754362,75.585175,4,4,1,Correct Predictions
-42.324265,37.480534,1,1,1,Correct Predictions
-23.579712,21.088856,2,2,1,Correct Predictions
78.91069,-17.152529,2,2,1,Correct Predictions
81.879036,46.585373,3,3,1,Correct Predictions
18.223358,9.813893,2,2,1,Correct Predictions
7.069823,10.862928,3,3,1,Correct Predictions
70.46269,75.44795,3,3,1,Correct Predictions
10.966041,-3.2062793,2,2,1,Correct Predictions
23.123003,-65.82966,4,4,1,Correct Predictions
-37.71401,52.683147,1,1,1,Correct Predictions
7.1421,-22.365322,2,2,1,Correct Predictions
-31.31708,-10.426496,3,3,1,Correct Predictions
79.570656,4.7101917,2,3,0,Incorrect Predictions
56.640884,28.846865,3,3,1,Correct Predictions
-9.876524,61.61709,3,3,1,Correct Predictions
52.367504,-34.649734,2,2,1,Correct Predictions
43.787674,18.271149,3,3,1,Correct Predictions
-1.9211196,-80.02496,4,4,1,Correct Predictions
-45.23852,-90.68273,4,4,1,Correct Predictions
-55.351505,-36.26091,4,4,1,Correct Predictions
38.446953,-67.39673,2,2,1,Correct Predictions
63.726658,-29.038673,2,2,1,Correct Predictions
28.425198,-54.000893,2,2,1,Correct Predictions
12.982939,27.991268,3,3,1,Correct Predictions
27.770033,-82.8575,2,2,1,Correct Predictions
91.526115,-21.76386,2,2,1,Correct Predictions
89.05236,-40.644093,2,2,1,Correct Predictions
-0.3536186,59.7165,3,3,1,Correct Predictions
68.32282,-5.138636,2,2,1,Correct Predictions
-28.51132,86.021614,3,3,1,Correct Predictions
-42.836433,4.2083797,1,1,1,Correct Predictions
-3.8488243,-57.815266,4,4,1,Correct Predictions
9.776733,17.84136,3,3,1,Correct Predictions
-32.003284,28.642208,1,1,1,Correct Predictions
43.842754,30.416225,3,3,1,Correct Predictions
13.130288,-60.70188,3,3,1,Correct Predictions
-65.941315,-26.997765,3,3,1,Correct Predictions
19.762686,4.737804,2,2,1,Correct Predictions
7.7326436,-52.339825,3,3,1,Correct Predictions
-4.026183,-29.09534,2,2,1,Correct Predictions
12.287622,-92.03917,2,2,1,Correct Predictions
-8.024491,-29.330454,2,2,1,Correct Predictions
43.32931,-30.673,2,2,1,Correct Predictions
22.387838,-32.24925,2,2,1,Correct Predictions
58.369843,1.3331453,2,2,1,Correct Predictions
-6.6556892,63.236202,3,3,1,Correct Predictions
63.444515,80.69204,3,3,1,Correct Predictions
22.801172,-22.57747,2,2,1,Correct Predictions
24.07314,-88.44486,2,3,0,Incorrect Predictions
-12.595734,67.17016,3,3,1,Correct Predictions
20.301147,-15.115779,2,2,1,Correct Predictions
-4.7847905,32.304897,3,3,1,Correct Predictions
-63.234142,21.292316,1,1,1,Correct Predictions
38.616386,-27.892094,2,2,1,Correct Predictions
73.08565,58.198296,3,3,1,Correct Predictions
-33.222076,0.5344436,1,1,1,Correct Predictions
10.891743,54.94299,3,3,1,Correct Predictions
-19.200443,71.622505,3,3,1,Correct Predictions
-8.7046795,-13.085056,2,2,1,Correct Predictions
25.88301,-90.04236,3,3,1,Correct Predictions
48.340515,-67.92085,3,3,1,Correct Predictions
-35.916386,30.208313,1,1,1,Correct Predictions
-82.385796,-48.206676,4,4,1,Correct Predictions
-12.916162,24.57666,1,1,1,Correct Predictions
-44.375813,22.169546,1,1,1,Correct Predictions
-43.132164,23.739594,1,1,1,Correct Predictions
79.837616,-26.44447,2,2,1,Correct Predictions
67.679794,26.513346,3,3,1,Correct Predictions
14.926765,25.84583,3,3,1,Correct Predictions
49.728115,85.326706,3,3,1,Correct Predictions
25.278524,25.838987,3,3,1,Correct Predictions
-32.83162,25.848764,1,1,1,Correct Predictions
29.312372,-95.73443,3,3,1,Correct Predictions
-70.36822,-42.319,4,4,1,Correct Predictions
7.269619,-7.2751937,2,2,1,Correct Predictions
-59.5307,-31.819649,4,4,1,Correct Predictions
72.23753,68.800705,3,3,1,Correct Predictions
-10.6383705,-23.50891,2,2,1,Correct Predictions
5.3812904,11.767431,3,3,1,Correct Predictions
44.04273,18.580172,3,3,1,Correct Predictions
-32.4349,58.77926,1,1,1,Correct Predictions
68.71423,56.579933,3,3,1,Correct Predictions
34.72928,-21.557428,3,3,1,Correct Predictions
13.378607,-55.54362,3,3,1,Correct Predictions
10.126203,17.410143,3,3,1,Correct Predictions
-91.0285,-5.764985,3,3,1,Correct Predictions
59.024727,-28.139832,2,2,1,Correct Predictions
76.917336,-32.69026,2,2,1,Correct Predictions
20.53511,19.658327,3,3,1,Correct Predictions
19.01097,89.185585,3,3,1,Correct Predictions
64.61984,-62.127254,2,2,1,Correct Predictions
11.449965,40.702015,3,3,1,Correct Predictions
20.387388,-82.45466,3,3,1,Correct Predictions
-1.2488958,-15.608235,2,2,1,Correct Predictions
30.264648,14.023084,2,2,1,Correct Predictions
18.192064,17.299582,3,3,1,Correct Predictions
-53.939198,-6.2316384,3,3,1,Correct Predictions
-19.264477,51.752342,1,1,1,Correct Predictions
48.13726,48.613792,3,3,1,Correct Predictions
-31.369974,-16.300392,3,3,1,Correct Predictions
66.0909,-62.39599,2,2,1,Correct Predictions
-62.30036,47.893192,1,1,1,Correct Predictions
